title,slug,outcome,avg_price,current_price,size,value_usd,cash_pnl,percent_pnl
Spread: Nets (-3.5),nba-was-bkn-2026-04-05-spread-home-3pt5,Wizards,0.49,0.0,24.132332,12.42815098,0.6033083000000008,5.102040816326537
"Rolex Monte Carlo Masters, Qualification: Juan Manuel Cerundolo vs Pedro Martinez",atp-cerund-martine-2026-04-05,Juan Manuel Cerundolo,0.74881,0.0,10.978002,10.972512999,2.7520753213800004,33.47845247793166
Spread: Auburn Tigers (-5.5),cbb-tulsa-aubrn-2026-04-05-spread-home-5pt5,Auburn Tigers,0.478939,0.0,21.494625,10.7473125,0.4526982971250005,4.397428482541623
Milwaukee Brewers vs. Kansas City Royals: O/U 9.5,mlb-mil-kc-2026-04-03-total-9pt5,Over,0.451329,0.0,10.591776,10.586480112,5.806104441696,121.45707455093738
"Upper Austria Ladies Linz, Qualification: Maria Timofeeva vs Alina Charaeva",wta-timofee-charaev-2026-04-05,Maria Timofeeva,0.828679,0.0,10.449469,10.4442442655,1.7849887440489995,20.613651365607186
Magic vs. Pelicans: O/U 235.5,nba-orl-nop-2026-04-05-total-235pt5,Over,0.51,0.0,18.341455,9.72097115,0.36682909999999963,3.9215686274509762
Jazz vs. Thunder: O/U 239.5,nba-uta-okc-2026-04-05-total-239pt5,Under,0.51,0.0,18.57142,9.564281300000001,0.0928571000000015,0.9803921568627608
Middle Tennessee Blue Raiders vs. Jacksonville State Gamecocks,cbb-mtnst-jaxst-2026-01-24,Jacksonville State Gamecocks,0.45,0.0,16.0,8.808,1.608,22.333333333333332
Lakers vs. Mavericks: O/U 233.5,nba-lal-dal-2026-04-05-total-233pt5,Under,0.53,0.0,16.7603,8.715356,-0.167603,-1.8867924528301887
Pacers vs. Cavaliers: O/U 239.5,nba-ind-cle-2026-04-05-total-239pt5,Under,0.47,0.0,17.661885,8.65432365,0.3532377000000011,4.255319148936184
Magic vs. Pelicans: O/U 234.5,nba-orl-nop-2026-04-05-total-234pt5,Under,0.45,0.0,18.672724,8.309362179999999,-0.09336362000000105,-1.1111111111111234
Suns vs. Bulls,nba-phx-chi-2026-04-05,Suns,0.81,0.0,10.18,8.2967,0.050899999999998134,0.6172839506172613
